,quote_tweet_id,quote_tweet_text,name,time,location,followers,following,hashtags
0,1612145232132325384,"Priceless, suffice it to say the ""Mona Lisa"" doesn't travel anymore. https://t.co/dMdWbx3oTQ","Sellig (il/lui, he/him)",2023-01-08 18:04:41,"Winnipeg, Manitoba, Canada",161,208,[]
1,1612145232132325384,Thank you Mr President for this great honor to visit #monalisa https://t.co/7AyfEByIQT https://t.co/gFaejn5OSL,Prince Ethelred Athelstan,2023-01-08 18:01:36,,0,34,['monalisa']
2,1612144866066305025,Really good looking luxury car was probably designed in 85-88. Maybe the big Benz of that time. https://t.co/2LNobSWZVM,Sir Geechie,2023-01-08 17:55:30,"CT & St. Helena,SC circa 1870",2461,2003,[]
3,1612143993181061126,Kinda dig the cheesiness and might actually try to get a pair 😬 https://t.co/mYLHWSE5ew https://t.co/bRjWvX7YWQ,Tristan D'Amours,2023-01-08 18:02:06,"Montréal, Québec",2798,1301,[]
4,1612143525281370114,https://t.co/UGCyBjgh3K,Pete Liquid,2023-01-08 17:47:50,Orcaucasus,638,601,[]
5,1612143053761912832,"Let's be real, in 6 weeks. We won't be talking about Damar Hamlin as a culture. His career still may be over and he… https://t.co/H35z2O93Ed",cmitown,2023-01-08 17:46:21,15201 Maple Systems Rd Chicago,282,128,[]
6,1612142988108365824,Pepsaid When you compete with the past you are always going to lose so people have to be patient it’s not potter fa… https://t.co/wO7TaGiDRR,J’,2023-01-08 17:48:13,West London,271,347,[]
7,1612142531374125056,"Then still empty the clip into his face. Idc about his brother, I care about me and mine. https://t.co/kv4juYhTMu",vmx,2023-01-08 19:04:56,,15,183,[]
8,1612141968330739713,Shambho 🙏 🙏 https://t.co/U9V7bVpU8Y,Kavita #SaveSoil,2023-01-08 19:30:03,,943,976,[]
9,1612141968330739713,"Sadguru how do you define ॐ  Amin or yemin, aam or aum, https://t.co/nCb6YcZbPp",धर्म,2023-01-08 18:40:40,"Mumbai, India",412,1142,[]
10,1612141968330739713,"Gavisiddheshwara Mahotsava- a centuries-old tradition of Devotion &amp; Gratitude, a stellar tribute to the spiritual r… https://t.co/e43ejtGMmX",Gourav raghuwanshi #savesoil,2023-01-08 18:03:44,"Ayodhya, Bharat ",1517,1556,[]
11,1612141113791631363,This is a good addition to the conversation about cultural appropriation going on. People definitely have the right… https://t.co/6b2eWuRJ7X,Steph (they/them) Back to School Era,2023-01-08 17:40:30,CHI→LA→CHI→NOLA→LA,837,1817,[]
12,1612140574433312777,"I'm feeling this way about nhl hockey, more and more. :( https://t.co/p63pDxg2Ky",Luna @LunaSee@mas.to 🌙🏳️‍🌈✝️🌲🦄,2023-01-08 18:21:13,BC,913,1438,[]
13,1612140456057372673,It's really weird 😕 https://t.co/JNluASUWVS,patrick,2023-01-08 20:08:18, Scotland,7815,8456,[]
